folder,img1,img2,match_count,wall_time_s,cpu_time_s
different_1,101_6.tif,105_6.tif,16,0.027876,0.046875
different_10,101_6.tif,104_7.tif,20,0.021522,0.109375
different_2,102_5.tif,106_7.tif,4,0.021687,0.109375
different_3,106_8.tif,107_6.tif,7,0.019421,0.015625
different_4,106_6.tif,106_7.tif,11,0.019543,0.015625
different_5,105_6.tif,107_6.tif,4,0.018812,0.109375
different_6,103_8.tif,104_1.tif,7,0.017627,0.015625
different_7,103_1.tif,107_6.tif,7,0.021774,0.015625
different_8,101_4.tif,104_4.tif,19,0.019695,0.140625
different_9,101_4.tif,107_6.tif,22,0.018737,0.046875
same_1,101_6.tif,101_7.tif,61,0.021883,0.015625
same_10,104_7.tif,104_8.tif,55,0.024386,0.031250
same_2,105_6.tif,105_7.tif,28,0.019891,0.015625
same_3,102_5.tif,102_6.tif,14,0.019425,0.015625
same_4,106_7.tif,106_8.tif,15,0.021754,0.125000
same_5,107_6.tif,107_7.tif,74,0.025326,0.109375
same_6,101_1.tif,101_2.tif,30,0.023346,0.015625
same_7,106_6.tif,106_7.tif,50,0.022640,0.015625
same_8,107_6.tif,107_7.tif,73,0.020693,0.031250
same_9,103_1.tif,103_2.tif,24,0.029839,0.031250
folder,img1,img2,match_count,wall_time_s,cpu_time_s
different,UiA front1.png,mci.jpg,29,0.081219,0.187500
same,UiA front1.png,UiA front3.jpg,35,0.089212,0.140625
