folder,img1,img2,match_count,wall_time_s,cpu_time_s
different_1,101_6.tif,105_6.tif,19,0.180458,0.343750
different_10,101_6.tif,104_7.tif,15,0.196556,0.421875
different_2,102_5.tif,106_7.tif,18,0.168663,0.312500
different_3,106_8.tif,107_6.tif,15,0.150764,0.328125
different_4,106_6.tif,106_7.tif,25,0.148383,0.375000
different_5,105_6.tif,107_6.tif,12,0.123927,0.328125
different_6,103_8.tif,104_1.tif,21,0.119306,0.375000
different_7,103_1.tif,107_6.tif,29,0.115933,0.265625
different_8,101_4.tif,104_4.tif,19,0.116614,0.375000
different_9,101_4.tif,107_6.tif,43,0.137388,0.250000
same_1,101_6.tif,101_7.tif,77,0.109468,0.281250
same_10,104_7.tif,104_8.tif,68,0.116477,0.171875
same_2,105_6.tif,105_7.tif,69,0.125019,0.312500
same_3,102_5.tif,102_6.tif,24,0.161665,0.359375
same_4,106_7.tif,106_8.tif,34,0.116480,0.234375
same_5,107_6.tif,107_7.tif,58,0.112820,0.312500
same_6,101_1.tif,101_2.tif,22,0.134146,0.375000
same_7,106_6.tif,106_7.tif,53,0.121959,0.312500
same_8,107_6.tif,107_7.tif,124,0.114608,0.296875
same_9,103_1.tif,103_2.tif,44,0.138348,0.296875
folder,img1,img2,match_count,wall_time_s,cpu_time_s
different,UiA front1.png,mci.jpg,24,0.398829,0.656250
same,UiA front1.png,UiA front3.jpg,26,0.516700,0.984375
