folder,img1,img2,match_count,wall_time_s,cpu_time_s
different_1,101_6.tif,105_6.tif,19,0.161289,0.218750
different_10,101_6.tif,104_7.tif,15,0.089994,0.187500
different_2,102_5.tif,106_7.tif,18,0.084698,0.171875
different_3,106_8.tif,107_6.tif,15,0.080946,0.234375
different_4,106_6.tif,106_7.tif,25,0.084346,0.234375
different_5,105_6.tif,107_6.tif,12,0.069864,0.156250
different_6,103_8.tif,104_1.tif,21,0.080534,0.218750
different_7,103_1.tif,107_6.tif,29,0.089890,0.234375
different_8,101_4.tif,104_4.tif,19,0.079406,0.125000
different_9,101_4.tif,107_6.tif,43,0.073943,0.250000
same_1,101_6.tif,101_7.tif,77,0.069326,0.125000
same_10,104_7.tif,104_8.tif,68,0.081355,0.140625
same_2,105_6.tif,105_7.tif,69,0.073939,0.171875
same_3,102_5.tif,102_6.tif,24,0.080140,0.281250
same_4,106_7.tif,106_8.tif,34,0.079500,0.187500
same_5,107_6.tif,107_7.tif,58,0.076712,0.250000
same_6,101_1.tif,101_2.tif,22,0.070166,0.156250
same_7,106_6.tif,106_7.tif,53,0.072242,0.156250
same_8,107_6.tif,107_7.tif,124,0.075270,0.171875
same_9,103_1.tif,103_2.tif,44,0.080614,0.234375
folder,img1,img2,match_count,wall_time_s,cpu_time_s
different,UiA front1.png,mci.jpg,24,0.284763,0.453125
same,UiA front1.png,UiA front3.jpg,26,0.292170,0.578125
